Date	SPY
1997-02-18	50.833435
1997-02-19	50.493896
1997-02-20	49.882736
1997-02-21	49.902142
1997-02-24	50.493896
1997-02-25	50.532734
1997-02-26	50.03793
1997-02-27	49.290958
1997-02-28	49.145458
1997-03-03	49.475281
1997-03-04	49.203678
1997-03-05	50.03793
1997-03-06	49.74691
1997-03-07	50.193172
1997-03-10	50.716999
1997-03-11	50.445404
1997-03-12	49.999115
1997-03-13	49.223068
1997-03-14	49.475281
1997-03-17	49.611084
1997-03-18	49.077553
1997-03-19	48.912617
1997-03-20	48.660397
1997-03-21	48.885727
1997-03-24	49.567383
1997-03-25	49.08049
1997-03-26	49.294708
1997-03-27	47.989788
1997-03-31	46.97702
1997-04-01	47.278915
1997-04-02	46.431686
1997-04-03	46.684875
1997-04-04	47.269173
1997-04-07	47.454197
1997-04-08	47.795036
1997-04-09	47.405506
1997-04-10	47.230217
1997-04-11	45.73053
1997-04-14	46.344032
1997-04-15	47.132851
1997-04-16	47.678188
1997-04-17	47.483414
1997-04-18	47.717148
1997-04-21	47.405506
1997-04-22	48.447475
1997-04-23	48.496201
1997-04-24	48.252716
1997-04-25	47.697647
1997-04-28	48.165073
1997-04-29	49.684216
1997-04-30	49.917953
1997-05-01	49.859528
1997-05-02	50.755432
1997-05-05	51.962963
1997-05-06	51.92403
1997-05-07	50.794403
1997-05-08	51.144978
1997-05-09	51.49556
1997-05-12	52.352493
1997-05-13	52.138248
1997-05-14	52.235668
1997-05-15	52.586216
1997-05-16	51.865601
1997-05-19	52.021385
1997-05-20	52.6446
1997-05-21	52.527763
1997-05-22	52.352493
1997-05-23	52.839428
1997-05-27	53.05368
1997-05-28	53.043892
1997-05-29	52.732307
1997-05-30	53.073124
1997-06-02	52.839428
1997-06-03	52.664127
1997-06-04	52.60569
1997-06-05	52.800484
1997-06-06	53.832703
1997-06-09	54.105389
1997-06-10	54.270908
1997-06-11	54.397518
1997-06-12	55.449257
1997-06-13	55.916656
1997-06-16	55.936146
1997-06-17	55.858261
1997-06-18	55.663467
1997-06-19	56.238071
1997-06-20	56.046425
1997-06-23	54.687538
1997-06-24	56.075741
1997-06-25	55.684704
1997-06-26	55.410992
1997-06-27	55.62606
1997-06-30	55.254562
1997-07-01	55.89978
1997-07-02	56.818729
1997-07-03	57.600811
1997-07-07	57.014259
1997-07-08	57.6106
1997-07-09	56.975124
1997-07-10	57.229332
1997-07-11	57.424843
1997-07-14	57.600811
1997-07-15	57.894104
1997-07-16	58.656643
1997-07-17	58.363358
1997-07-18	57.121777
1997-07-21	57.131573
1997-07-22	58.646881
1997-07-23	58.597988
1997-07-24	58.871727
1997-07-25	58.832615
1997-07-28	58.793503
1997-07-29	58.989037
1997-07-30	59.692924
1997-07-31	59.634251
1997-08-01	59.399624
1997-08-04	59.556084
1997-08-05	59.595139
1997-08-06	60.083981
1997-08-07	59.634251
1997-08-08	58.42202
1997-08-11	58.852161
1997-08-12	57.913651
1997-08-13	57.737705
1997-08-14	57.95274
1997-08-15	56.173519
1997-08-18	57.424843
1997-08-19	58.089611
1997-08-20	58.969479
1997-08-21	57.933224
1997-08-22	57.913651
1997-08-25	57.698601
1997-08-26	56.848053
1997-08-27	57.190212
1997-08-28	56.320156
1997-08-29	56.545006
1997-09-02	58.382912
1997-09-03	58.070087
1997-09-04	58.441574
